企業名,法人番号,採用中,発見媒体,求人件数,採用職種,取得日,根拠
株式会社コーユービジネス,1120001079599,○,求人ボックス,2,インフラエンジニア／未経験OK／客先常駐ナシ／残業少なめ／土/営業サポート ワークライフバランスOK 未経験歓迎 創業65,2026-06-14,job-engine-hit
シキボウリネン株式会社,1120001080945,○,求人ボックス,4,週2日～可の工場内作業/クリーニング店の受付スタッフ/クリーニング工場内軽作業/クリーニング店舗受付スタッフ,2026-06-14,job-engine-hit
株式会社出版文化社,1120001081431,○,求人ボックス,1,DTPオペレーター,2026-06-14,job-engine-hit
清和肥料工業株式会社,1120001082578,○,求人ボックス,3,福島／いわき／肥料製造スタッフ 未経験歓迎／老舗肥料メーカー/軽作業・検査・ピッキング/短時間OKの工場内清掃スタッフ／未経験歓迎・扶養内OK・車通,2026-06-14,job-engine-hit
株式会社タクミナ,1120001083948,○,求人ボックス,22,「調理師」/「生産技術DX化・自動化推進」/兵庫／朝来／機械設計・小型ポンプシェアトップクラスメーカー／/「スムーズフローポンプの設計開発」/「経理」,2026-06-14,job-engine-hit
株式会社パルグループホールディングス,1120001087503,○,求人ボックス,10,「店舗開発」3COINS等・人気ブランドの出店戦略/「内装管理」3COINS等・人気ブランドのパルグループ/明治神宮前／店舗開発 商談など 東証プライム上場／「3COI/「生産管理」東証プライム上場パルグループ／60超ブランドを支/「企画生産」東証プライム上場パルグループ／60超ブランドを支,2026-06-14,job-engine-hit
株式会社バルニバービ,1120001087528,○,求人ボックス,9,総務/ホール／フード系／サービス系 梅田アクセス良好／朝8~13時/グラフィックデザイン/店舗設計・デザイン/152年の歴史あるナポリピッツェリアのキッチンスタッフ,2026-06-14,job-engine-hit
株式会社ワークステーション,1120001092585,○,求人ボックス,3,小さな部品の検査 袋詰め/防災器具の顧客管理営業/ホテルフロント・コンシェルジュ,2026-06-14,job-engine-hit
株式会社フュートレック（閉鎖）,1120001095092,,,,,2026-06-14,not-found
株式会社ウィル・インターナショナル,1120001094367,○,求人ボックス,7,レア求人!20～30代活躍中 英語×国際イベント運営／未経験/理学療法士・PT「7月急募」／訪問リハビリ／訪問看護／常勤／/苅藻駅より徒歩10分の訪問看護ステーションの作業療法士／作業/訪問看護師／正看護師免許・平日週2日～勤務／9時～18時の間/英語×国際イベント運営／未経験OK／20代～30代活躍中,2026-06-14,job-engine-hit
株式会社タスクフォース,1120001098013,○,求人ボックス,25,横浜／制御系開発エンジニア 上流工程／成長支援／安定基盤 大/長期就業×安定性／生産管理システム開発エンジニア／鉄鋼・製造/看護助手／主婦・主夫活躍中／17:00～23:00／週5日～/オープニングスタッフ／主婦・主夫活躍中／17:00～23:0/長期就業×安定性／開発エンジニア PL候補／年間休日122日,2026-06-14,job-engine-hit
株式会社イオシス,1120001098434,○,求人ボックス,5,未経験OK!服装髪型自由!スマホ・PC販売と買取スタッフ/中古スマホなどの店舗販売スタッフ/リユースショップの店頭スタッフ／正社員登用あり／服装・ネイル/スマホなどのリユースショップの接客販売スタッフ／正社員登用あ/中古スマートフォンなどのショップの接客コンシェルジュ／正社員,2026-06-14,job-engine-hit
株式会社中日総合サービス,1180001037956,○,求人ボックス,2,法人営業、企画営業/営業事務、データ入力,2026-06-14,job-engine-hit
株式会社ＦＯＶＡテック,1180001038459,○,求人ボックス,1,経験者歓迎! フィールドエンジニア インセンティブあり,2026-06-14,job-engine-hit
富士ビジネス・マシンズ株式会社,1180001040299,○,求人ボックス,1,営業職,2026-06-14,job-engine-hit
株式会社エースベーキング,1180001045182,○,求人ボックス,1,一般事務「製パン会社」／残業ほぼなし／完全週休二日制／PC入,2026-06-14,job-engine-hit
株式会社宮崎,1180001045546,○,求人ボックス,3,株式会社宮崎南不動産「アパマンショップ」 売買営業経験者募集/木製品・家具などの製造補助/介護福祉士／生活相談員／賞与年2回／デイサービス事業所／日勤,2026-06-14,job-engine-hit
株式会社ＯＪＴソリューションズ,1180001051222,,,,,2026-06-14,not-found
株式会社コモ,1180001075799,○,求人ボックス,17,2027 新卒採用 食品/「コンサル」食の未来を創る 定性データ×食の専門知識で大手食/事務／未経験 安定インフラ企業・17時定時・休暇の取得がしや/「営業職」顧客開拓／広報宣伝／企業のブランド戦略 × クリエ/事務職／正社員登用実績100%／未経験／女性活躍／データ入力,2026-06-14,job-engine-hit
岩田食品株式会社,1180001082184,○,求人ボックス,8,2027 新卒採用 食品/お惣菜の盛り付け・シール貼り/お惣菜のパック詰め作業/お弁当の盛り付け・シール貼り/スーパーでお惣菜の調理・陳列,2026-06-14,job-engine-hit
東名通信工業株式会社,1180001086061,○,求人ボックス,2,稲沢市／総務 人事・経理など／完全週休二日制／残業月10h／/NTTグループ取引で安定／企画総務部で経理・総務ポジション／,2026-06-14,job-engine-hit
ＮＫＫスイッチズ株式会社,1020001066839,○,求人ボックス,11,スイッチ部品の検査スタッフ/障がい者採用／「障」館内清掃/川崎／経理 係長／東証スタンダード上場／世界トップシェアのス/川崎／課長／経理・東証スタンダード上場／ミドル層活躍中／シェ/川崎／課長／総務 株主総会・会社行事運営等／東証スタンダード,2026-06-14,job-engine-hit
セントラル総業株式会社,1020001067993,○,求人ボックス,2,学校給食の配送管理 未経験歓迎 月給30万円～／基本17時退/9時半～15時半・平日のみ・扶養内OK 30～60代活躍中!,2026-06-14,job-engine-hit
秋山商事株式会社,1020001071780,○,求人ボックス,2,クリーンスタッフ,2026-06-14,job-engine-hit
株式会社日本海洋科学,1020001077159,,,,,2026-06-14,not-found
東芝電波プロダクツ株式会社,1020001081053,○,求人ボックス,2,2027 新卒採用 総合電機/ソフトウェア開発／土日休み／年間休日120日以上／経験者歓迎,2026-06-14,job-engine-hit
株式会社ニッツウ警備保障,1020001086432,,,,,2026-06-14,not-found
株式会社グッドライフ,1021001000589,○,求人ボックス,11,理学療法士／株式会社グッドライフケア東京/実務者研修／介護職員・ヘルパー／寮あり／グループホーム／日勤/介護職員／介護福祉士／実務者研修／初任者研修／日勤のみ／介護/介護職員／初任者研修／デイサービス／日勤のみ／介護/介護職員／介護福祉士／実務者研修／初任者研修／デイサービス／,2026-06-14,job-engine-hit
株式会社オービーエム管財,1021001032459,○,求人ボックス,1,公共施設内巡回清掃,2026-06-14,job-engine-hit
株式会社西原商会九州,1290001038480,○,求人ボックス,1,配送7割・営業3割／ルートセールス／転勤なし,2026-06-14,job-engine-hit
株式会社スマイル企画,1290001045015,○,求人ボックス,1,保育士,2026-06-14,job-engine-hit
株式会社ＱＣＬ,1290001058636,○,求人ボックス,5,配達／PC・データ入力 普通免許があればOK ルート集配スタ/医療検査物のルート回収・配送/内勤作業を含むルート配送ドライバー/受電対応事務スタッフ/検査物ルート集配スタッフ,2026-06-14,job-engine-hit
株式会社ザイマックス九州,1290001062968,○,求人ボックス,4,福岡勤務! プロパティマネジメント 年休120日/電気主任技術者/プロパティマネジメント／オフィスビル／土日祝休み/施工管理 電気 「1級電気工事施工管理技士」／正社員 福岡,2026-06-14,job-engine-hit
エイジス九州株式会社,1290001100091,○,求人ボックス,2,ディスカウントストアでの軽作業スタッフ/大阪 アルバイト管理 第二新卒歓迎／棚卸業界国内シェア8割・,2026-06-14,job-engine-hit
東洋警備保障株式会社,1290801002636,○,求人ボックス,4,老舗企業で働く様々な印刷物・販促物を扱う「広告企画営業」/駅チカ／景気に左右されないセキュリティスタッフ／面接1回／第/交通誘導スタッフ／40代活躍中／安定の8h勤務／週1～／直行/老舗企業で働く!様々な印刷物・販促物を扱う 広告企画営業,2026-06-14,job-engine-hit
ＪＲ九州サービスサポート株式会社,1290801005366,○,求人ボックス,6,ホテル清掃/病院内の清掃スタッフ/病院内清掃スタッフ/清掃スタッフ/ホテルの客室清掃,2026-06-14,job-engine-hit
九州美装株式会社,1290801009128,○,求人ボックス,2,清掃 未経験歓迎 16時退社 中高年·シニアも活躍中 病院清/清掃／医療・介護・福祉系／サービス系 未経験スタート大歓迎 ,2026-06-14,job-engine-hit
安全警備株式会社,1290801009573,○,求人ボックス,3,マンションの夜間警備／未経験無資格OK／西神中央駅スグ／制服/私服警備員スタッフ,2026-06-14,job-engine-hit
鉄鋼処理産業株式会社,1290801012296,○,求人ボックス,1,構内作業員,2026-06-14,job-engine-hit
株式会社アスモフードサービス東日本,1430001072317,○,求人ボックス,24,調理・給食スタッフ/給食委託会社でのエリアマネージャー/給食委託会社での準マネージャー職/高齢者施設の調理業務/有料老人ホームでの調理,2026-06-14,job-engine-hit
函館環境衛生株式会社,1440001001621,,,,,2026-06-14,not-found
株式会社コンピューター・ビジネス,1450001001133,○,求人ボックス,1,プログラマ,2026-06-14,job-engine-hit
環境コンサルタント株式会社,1460001000241,○,求人ボックス,1,各調査技術スタッフ,2026-06-14,job-engine-hit
東洋株式会社,1460101001189,○,求人ボックス,14,バス運転士／大型バス/認定整備工場での整備士／賞与年2回／中高年世代も活躍中/介護福祉士／介護職員・ヘルパー／寮あり／サービス付き高齢者専/介護福祉士／サービス提供責任者／訪問介護事業所／日勤のみ/「東京」事業用不動産の期中管理業務担当／残業月平均20時間／,2026-06-14,job-engine-hit
北海道道路保全株式会社,1460101001627,,,,,2026-06-14,not-found
桑原電装株式会社,1460301000346,○,求人ボックス,2,作業員／未経験OK／社会保険完備/大手通信キャリアのショップスタッフ,2026-06-14,job-engine-hit
株式会社三共後藤建設,1460301001253,○,求人ボックス,1,建築施工管理／2級建築施工管理技士,2026-06-14,job-engine-hit
地崎商事株式会社,2430001010424,○,求人ボックス,6,ガソリンスタンドスタッフ／未経験OKENEOS特約店／賞与年/ガソリンスタンドスタッフ／ENEOS／賞与年3回・休日120/ガソリンスタンドの店舗社員/エネオスのガソリンスタンドスタッフ/ENEOSガソリンスタンドスタッフ・接客販売,2026-06-14,job-engine-hit
株式会社日総,2430001012643,○,求人ボックス,24,"札幌／庶務 リーダークラス／給食委託の道内パイオニア／安定基/集団調理・ケータリング, 給食・社員食堂・介護・病院／その他/集団調理・ケータリング, 給食・社員食堂・介護・病院／スーパ/調理師／介護施設／調理／賞与年2回／残業代別途支給/調理師／福祉施設／調理／月9日休み／賞与年2回",2026-06-14,job-engine-hit
ライラック興業株式会社,2430001018120,○,求人ボックス,2,札幌／水質検査スタッフ 公共インフラを担う事業で安定性抜群／/土日祝休みの電話受付・伝票作成スタッフ,2026-06-14,job-engine-hit
株式会社札幌映像プロダクシヨン,2430001019622,,,,,2026-06-14,not-found
日本山村硝子株式会社,1140001054947,○,求人ボックス,10,ガラスびんの製品切替えや機械保全/ガラスびんの生産オペレーター／「工場内の生産オペレーター」未/相模原／未経験歓迎／製造スタッフ 東証上場 ガラス瓶国内シェ/横浜市／研究開発 光学レンズ／光学薄膜の設計／ガラスびん国内/誰もが知る有名メーカーのガラスびんを手がける「製造スタッフ」,2026-06-14,job-engine-hit
永井産業株式会社,1140001060318,,,,,2026-06-14,not-found
ハリマ共和物産株式会社,1140001060846,○,求人ボックス,12,姫路／転勤無し／総務 社内規定の改定・株主総会の運営等／人財/姫路／転勤無し／経理・財務 サブマネージャー候補／大手チェー/姫路／人事全般／キャリアアップ志向歓迎 創業100年超×上場/検品／品出し／軽作業・物流系 新センター 週3日~OKの簡単/品出し／検品／軽作業・物流系 久しぶりのパート も安心 主婦,2026-06-14,job-engine-hit
株式会社ワンステップ,1140001062280,○,求人ボックス,10,未経験から始められる不動産事務/未経験活躍! 反響営業の賃貸不動産ルームアドバイザー/介護職員・ヘルパー／介護福祉士／デイサービス／日勤のみ／土日/相模原市中央区 放課後等デイサービスの保育士／複数園あり／駅/理学療法士・PT「7月急募」／介護施設／デイサービス／常勤／,2026-06-14,job-engine-hit
新明和ソフトテクノロジ株式会社,1140001069045,○,求人ボックス,25,ヘルプデスク/「兵庫県西宮市／インフラエンジニア」G全体のIT基盤を支える/「神奈川県寒川町／システム運用保守」特装車製造を支えるITシ/栃木県佐野市／システム運用保守／システム運用・保守／ヘルプデ/「神奈川県川崎市／SE PL候補」製造業向けシステム開発をリ,2026-06-14,job-engine-hit
株式会社ジオテクノ関西,1140001068971,○,求人ボックス,2,兵庫西宮／経理職「管理職候補ポジション」業務改善や体制作りに/データ入力、タイピング PC・パソコン・インターネット、CA,2026-06-14,job-engine-hit
株式会社ＮＥＯ　ＤＡＩＳＥＩ,1140001077898,○,求人ボックス,1,姫路事業所 道路メンテナンスの施工管理,2026-06-14,job-engine-hit
トレスエンジニアリング株式会社,2100001015489,○,求人ボックス,1,電気工事作業員 高卒以上・職務経験・資格不問,2026-06-14,job-engine-hit
株式会社山本清掃,2130001011948,,,,,2026-06-14,not-found
株式会社ジェイ・エス・ビー,2130001017499,○,求人ボックス,20,調理スタッフ／高齢者施設／賞与あり/調理責任者／食事付き学生マンション／土日祝休み/調理業務／高齢者住宅の厨房サポート業務／主婦さん活躍中/学生向け住宅施設のパンフレット配布業務/調理補助／食事付き学生マンション／土日祝休み,2026-06-14,job-engine-hit
株式会社地域計画建築研究所,2130001018043,○,求人ボックス,1,神田／都市計画・まちづくりコンサルタント／管理職候補／転勤無,2026-06-14,job-engine-hit
