企業名,法人番号,従業員数,業種,都道府県
株式会社オオケン,1240001001765,709,ビルの設備管理・警備・清掃等行う総合ビルメンテナンス業 指定管理者事業,広島県広島市南区松川町５番９号
株式会社安永,1190001008733,583,エンジン部品、工作機械の製造販売 ワイヤソー本体及びその加工用工具部品の製造・販売 検査測定装置の製造・販売,三重県伊賀市緑ケ丘中町３８６０番地
ジョルジオアルマーニジャパン株式会社,1010001019962,720,イタリア・アルマーニ製品の輸入、小売／卸売販売,東京都中央区銀座５丁目５番４号
大阪エムケイ株式会社,1120001036971,514,一般乗用旅客運送事業（タクシー、ハイヤー）,大阪府大阪市西成区北津守２丁目１番２１
スバル東海株式会社,1180001013049,843,スバル（新車・中古車）の販売、修理・整備、関連部品用品の販売、保険代理店業務　など,愛知県名古屋市北区落合町２３３番地
中電不動産株式会社,1180001016200,622,・不動産業 不動産の売買・賃貸借・交換・仲介・管理・運営、建物の警備 ・建設業 建築・設備・土木・緑化・造,愛知県名古屋市中区栄２丁目２番５号
株式会社大同ライフサービス,1180001014798,508,不動産業,愛知県名古屋市南区大同町４丁目７番地
イチビキ株式会社,1180001021522,646,調味料・加工食品の製造・販売,愛知県名古屋市熱田区新尾頭１丁目１１番６号
株式会社ジェイアール東海高島屋,1180001030531,949,百貨店業、不動産賃貸業,愛知県名古屋市中村区名駅１丁目１番４号
株式会社ワールドツール,1010401117787,800,自動車整備用工具販売,埼玉県深谷市白草台２９０９番地５０
Ｐ＆Ｇジャパン合同会社,1140001024801,721,日本における洗濯洗浄関連製品・紙製品・医薬部外品・化粧品・小型家電製品などの販売、輸出入,兵庫県神戸市中央区小野柄通７丁目１番１８号
株式会社マツヤスーパー,1130001013359,941,スーパーマーケットの経営、ショッピングセンターの運営・開発,京都府京都市山科区竹鼻地蔵寺南町９番地１
カンケンテクノ株式会社,1130001030783,643,排ガス処理装置、VOC処理装置、脱臭装置等の製造販売,京都府長岡京市神足太田３０番地２
ニデックテクノモータ株式会社,1130001044180,721,空調用・家電用・産業用各種中・小型モータ、電動工具、モータ応用機器等の開発、製造、販売,京都府京都市南区久世殿城町３３８番地
