企業名,法人番号,業種,都道府県,従業員数,設立年,補助金,代表者名,公式URL
共栄株式会社,1140001007137,鉄、非鉄金属、軽金属、並びにその屑の買入販売、及び加工販売,兵庫県神戸市中央区栄町通２丁目３番９号共栄ビル,146,1941,,久寳利幸,http://www.kyoyei.com/
株式会社ケイテック,1140001007384,モータサイクル及びジェットスキー等カワサキ製品の３Ｄモデリング、サービスマニュアル制作、ＣＧ制作、システム開発・運用・保,兵庫県明石市川崎町１番１号,320,1990,,北野正巳,http://www.ktec-akashi.co.jp/
光和管財株式会社,1140001007599,ビルメンテナンス事業,兵庫県神戸市中央区磯辺通３丁目２番１７号ＫＯＷＡワールド三宮ビル,114,1979,,光井勇,https://kowa-kanzai.co.jp/
株式会社ナガサワ文具センター,1140001009777,,兵庫県神戸市中央区三宮町１丁目９番１－１４０号,76,1947,,長澤宗弘,
株式会社ニチリン,1140001010033,ゴム製品製造販売業,兵庫県神戸市中央区江戸町９８番地１,530,,,曽我浩之,
株式会社神戸新聞社,1140001012021,,兵庫県神戸市中央区東川崎町１丁目５番７号,431,1931,,梶岡修一,
阪神内燃機工業株式会社,1140001010149,船舶用ディーゼル機関の設計・製造・販売・アフターサービス,兵庫県神戸市中央区海岸通８番地,288,1918,,木下和彦,https://www.hanshin-dw.co.jp/
株式会社ＯＫＡＭＵＲＡ,1140001012707,一般産業用機械器具部品等の販売・設計・製造・保守,兵庫県神戸市兵庫区七宮町１丁目１０番１号,86,1954,,岡村和幸,https://www.okamura-industry.co.jp
株式会社神戸工業試験場,1140001014570,,兵庫県神戸市兵庫区和田宮通３丁目２番２４号,434,1968,,鶴井昌徹,
株式会社トヨタレンタリース兵庫,1140001016534,,兵庫県神戸市長田区北町２丁目５番地,396,1967,,瀧川高章,
株式会社大伸,1140001013449,"〔印刷紙工事業部〕
企画プランニングから、幅広い印刷までトータルに。

〔包装事業部〕
包装資材から製品包装、品質管理及",兵庫県神戸市兵庫区塚本通４丁目１番１９号,498,1951,,石坪浩一,http://www.daishin-gr.co.jp/
フアーストリネンサービス株式会社,1140001017862,"リネンサプライ事業
クリーニング事業",兵庫県神戸市須磨区中落合２丁目２番５号,155,1982,,尾崎智史,
株式会社ウインウイン,1140001022532,"ヒューマン・リソース事業
(リクルート専属広告代理業・採用コンサルティング事業・採用代行サービス・人材紹介サービス・EQ",兵庫県神戸市中央区京町７９番地,107,2001,,魚谷勝,
ニッポンレンタカー北海道株式会社,1430001021109,自動車貸渡業務,北海道札幌市中央区南二条東１丁目１－１４,275,1971,,藤田裕一,https://www.nrgroup-global.com/hk/
株式会社神防社,1140001030329,,兵庫県神戸市中央区筒井町２丁目３番２２号,86,2008,,辻真一,
神栄テクノロジー株式会社,1140001027226,温湿度計測関連機器、各種試験機器の製造・販売,兵庫県神戸市中央区港島南町６丁目５番２,135,1985,,小山文也,http://www.shinyei.co.jp/stc/
ジャパンフィールド株式会社,1140001028777,"一般労働者派遣事業
有料職業紹介事業
警備業",兵庫県神戸市中央区八幡通３丁目２－５Ｉ・Ｎ東洋ビル２０３号室,161,2002,,高市秀藏,http://www.japan-field.co.jp
株式会社ＪＭＵアムテック,1140001039675,,兵庫県相生市相生５２９２番地,277,1990,,伊藤護,
ホシザキ北海道株式会社,1430001015639,各種厨房機器の販売及び修理メンテナンス,北海道札幌市白石区菊水一条４丁目１番８号,364,1978,,向浩司,https://www.hoshizaki-hokkaido.co.jp/
スプリングエイトサービス株式会社,1140001039709,,兵庫県たつの市新宮町光都１丁目２０番５号,154,1996,,山口竜也,
ピアサービス株式会社,1140001035377,ビルメンテナンス業,兵庫県明石市松の内１丁目１番地２６,340,1972,,岸本吉充,http://www.pierservice.co.jp
株式会社イボキン,1140001038603,"1、鉄、非鉄スクラップ収集運搬、加工、リサイクル
2、一般廃棄物の収集運搬、中間処理
3、産業廃棄物の収集運搬、中間処理",兵庫県たつの市揖保川町正條３７９番地,150,1984,,高橋克実,https://www.ibokin.co.jp
株式会社ＲＵＴＩＬＥＡ,1010703003272,,京都府京都市中京区下丸屋町３９７番地,78,2016,,矢野貴文,
株式会社東海近畿クボタ,1140001041037,"農業機械、施設一般、コイン精米機、生活関連機器の
販売、及び電動カートレンタル",兵庫県尼崎市浜１丁目１番１号,701,1962,,森藤雅隆,http://www.tokaikinki-kubota.co.jp
株式会社たけびし,1130001001272,電気機械器具卸売業,京都府京都市右京区西京極豆田町２９番地,435,1926,,岡垣浩志,
シライ電子工業株式会社,1130001001041,プリント配線板並びにプリント配線板外観検査機の設計・製造・販売,京都府京都市南区久世東土川町３６４番地１,387,,,五藤学,https://www.shiraidenshi.co.jp/
ダイニック株式会社,1130001001198,書籍装幀材、文具紙加工用品クロス、コンピュータリボン、名刺ハガキプリンタ、有機EL用水分除去シート、壁材、自動車内装材、,京都府京都市右京区西京極大門町２６番地,611,,,山田英伸,http://www.dynic.co.jp
任天堂株式会社,1130001011420,家庭用レジャー機器の製造・販売,京都府京都市南区上鳥羽鉾立町１１番地１,2648,,,古川俊太郎,http://www.nintendo.co.jp/
株式会社レボインターナショナル,1130001012055,,京都府京都市下京区綾小路通烏丸東入竹屋之町２５２番地１四条烏丸アーバンライフビル１０１,105,1999,,越川哲也,
内外エンジニアリング株式会社,1130001011313,建設コンサルタント（設計・測量）,京都府京都市南区久世中久世町１丁目１４１番地,309,1958,,吉原修,https://www.naigai-eng.co.jp
株式会社堀場製作所,1130001011676,3つの事業分野、「エネルギー・環境」、「バイオ・ヘルスケア」、「先端材料・半導体」における社会課題解決に貢献する分析・計,京都府京都市南区吉祥院宮の東町２番地,1776,1953,,足立正之,http://www.horiba.co.jp
株式会社キャリアパワー,1130001014217,人材派遣、業務委託,京都府京都市下京区三哲通西洞院東入東塩小路町８４３番地２,1400,1984,,木村光博,
佐々木化学薬品株式会社,1130001012716,化学薬品開発・製造・販売,京都府京都市山科区勧修寺西北出町１０番地,63,1958,,佐々木智一,http://www.sasaki-c.co.jp
株式会社エージェンシーアシスト,1130001013945,産業用機械部品の調達支援および検査,京都府久世郡久御山町佐古外屋敷６６番地の１,150,1994,,増井祐介,https://www.agency-assist.co.jp/recruit/
株式会社共栄薬研,1130001017005,,京都府京都市下京区富小路通松原下る本上神明町４５０番地,686,1978,,横松克美,
オムロン株式会社,1130001016824,制御機器・FAシステム、電子部品、公共・交通・セキュリティなどの研究開発・製造・販売,京都府京都市下京区塩小路通堀川東入南不動堂町８０１番地,5481,,,辻永順太,https://sustainability.omron.com/jp/
株式会社京進,1130001017021,【私たちは、全従業員の物心両面の豊かさを追求するとともに、日本と世界の教育・文化の向上、社会の進歩と善良化に貢献します】,京都府京都市下京区烏丸通五条下る大坂町３８２番地１,732,,,立木康之,https://group.kyoshin.co.jp/
株式会社エース,1130001016650,綜合建設コンサルタント,京都府京都市下京区七条通木屋町上る大宮町２０５番地,192,1966,,松川統久,https://www.pref.kyoto.jp/wlbsuisin/corp/pdf/N-196.pdf
株式会社ワコールキャリアサービス,1130001019323,労働者派遣事業,京都府京都市南区吉祥院中島町２９番地,385,1998,,小林喜秀,http://www.e-wacs.co.jp/
